Survey Date,Itinerary Number,Additional feedback,,
2018-01-01 03:13:00.000002,7317532348573,Aarp should check hotel reviews before booking..and know more about what hotels offer,,
2018-01-01 20:15:00,116109722421,Our initial flight was cancelled.  The rescheduled flight involved a connecting flight that landed after midnight at Memphis airport.  The rental car companies at the airport closed at midnight.  We called to see if they could provide us a way of getting to the hotel.  They were unable to do so.  We were not refunded for the day we were unable to use the car and had to pay for a roundtrip cab ride to the airport to get to the hotel and then back to the airport to pick up the rental car.,,
2018-01-02 14:14:00.000004,7318381175752,The first error was caused by me and was not solved to my satisfaction due to rules of the Hotel. The second requirement was solved to my satisfaction by AARP Travel Center and the Hotel.,,
2018-01-02 14:19:59.999998,7318245342919,"ability of service to reach out to hotel and resolve issue, Hotel was not even asked by AARP to compensate us for the mess up there.",,
2018-01-02 14:26:00.000001,7316738458392,I was delayed at the destination airport and needed mycar rental delayed,,
2018-01-02 14:59:00.000004,7316418582099,"The weekly price to rent a car at Tampa airport was higher  than what was originally on the website. However, I never kept a screen shot to prove my case.",,
2018-01-02 17:06:00,7318505278479,"I am a new member, and was trying to rent a car, I called the travel center because I wasn't seeing a discount, they said it would come off at the end right before I paid. I found out later that statement is not correct the price is already an AARP discounted rate. So I went ahead and reserved a car for $154.00 and the total after fees was $242. I called back to see why it didn't discount at the end, and was told by another AARP travel center employee that it was just certain cars, but he could get me a better deal for $215. I said great and when I got the confirmation it was $215.00 and after fees $312.00,better deal, HUH?",,
2018-01-02 17:12:59.999999,7314275161485,"I had a hotel room WITHOUT HEAT on Christmas.  I called them, they said they would do something but oh, no manager is not there.  For the next week I got messages saying that the manager was not there.  They were there, but these idiots could not get me anything.  I am so fucking pissed -- who has to pay for a hotel room without heat on Christmas???",,
2018-01-02 18:08:00.000004,7317178357510,Once I explained what happened and when into details she called the hotel they verified what I said and she admittedly issued me to credit. I thought it was going to be more difficult than that I would have to argue and explain my point but she made it very easy for me and I was satisfied,,
2018-01-02 19:07:00.000002,7318357406427,"When I called to cancel the hotel, the representative called the hotel and got permission to not charge for one night due to a death date n the family.  She was so helpful and sympathetic!",,
2018-01-03 01:45:00.000003,7318414785093,Reached agent easily.  Agent was able to locate record with itinerary.  made requested adjustments to reservation confirmations and immediately sent me updated itineraries with changes.,,
2018-01-03 07:41:00.000001,7318383209387,"I had a somewhat difficult time understanding the call center personnel.  He  also misunderstood me.  I wanted to reserve a hotel room in Panama City, Florida, USA. However, he made a reservation for Panama City, Panama. Fortunately, I noted error in the e-mail conformation and called again.  The second call center worker was able the correct the error.",,
2018-01-03 07:52:59.999998,7316065852021,They resolved my problem very quickly and cost effectively!,,
2018-01-03 09:29:59.999997,,"Resolving the problem took two calls and close to an hour of time. Admittedly, it was not a run-of-the-mill problem: I wanted to change the email address on my account and could not because the ""new"" address I wanted to use was one I had used to book a trip as a guest years ago. There was no mechanism for your agent to delete that address from the system. Luckily, the second agent I spoke with said that she could create an account for the one that had been used once, and we did that. This means I will eventually abandon/close the account with the old address and my travel history -- no big deal, I guess.

The only other comment on this problem is that I was told once this time, and also in a previous attempt to solve this problem several years ago, that I could not use the new address anymore.  It was only after I said that this effectively meant that I couldn't use Expedia anymore that the agent came up with the solution of creating an account for the address.",,
2018-01-03 10:12:00,114636090053,Wait time on hold x2. First phone contact had solution but had to transfer me to another department to actually implement the change.,,
2018-01-03 12:54:59.999996,116074839298,All needs taken care of with no issues,,
2018-01-03 15:58:00.000002,7281507552512,"We were out of town and my husband contracted food poisoning.  Since we drove, we could not leave when we were supposed to.  Our hotel room was nonrefundable, but because of husband's illness, we received a full refund.  The person I spoke with was very knowledgeable and helpful during the whole process.",,
2018-01-03 17:30:00.000003,7313753434488,Hotel we found on AARP site was unacceptable. We left one hour after check in. However it was very easy to fix a bad situation. We had no issues getting our refund at all.,,
2018-01-03 17:33:00,7318766656557,AARP Travel Center Customer Representative was friendly and shown be very knowledgeable in how to solve my situation.,,
2018-01-03 17:33:59.999996,7253722406499,I am still waiting for the representative to come back to me on my case.  I really don’t understand how I get a quote and the amount paid is more than dubble.  I would appreciate it if some one can solve the matter,,
2018-01-03 17:37:59.999998,7315936333713,"The 2 people I spoke to on that day were very nice and professional.  However, I was informed that I would be contacted by someone from Expedia within 48 hours about an issue I had complaint about, and haven't heard anything yet?",,
2018-01-03 17:55:00.000002,114998523622,My issue was understood and resolved,,
2018-01-03 19:03:59.999996,7318721559902,The person who helped us took care of our concern quickly and efficiently.,,
2018-01-03 21:54:00,115803084130,Quick response. Easy to understand.,,
2018-01-04 03:20:00.000001,7316886219215,Extended stay did little to accommodate me in Tamarac.  My first room had broken equipment and y second room gad the same along with noisy disrespectful neighbors.  Your office was closed and I felt helpless and taken at the hands of Extended stay in Tamarac Florida.,,
2018-01-04 08:37:00.000002,7318717117133,Booked the wrong date.  Representative was extremely helpful with rebooking!,,
2018-01-04 09:08:00.000004,73000000000,"the folks at expedia were wonderful but there was some confusion as to how to handle the issue.  I was billed from expedia and the hotel and did not catch it.  So when the hotel did an audit they just credited my credit card and no explanation.  I was worried at some point they would want that money back.  The hotel did their own audit and they was why the money was returned to me.  Not expedias fault, my I did not check the bill.",,
2018-01-04 10:45:59.999999,115640688116,The person listened and focused on the problem,,
2018-01-04 11:21:00.000003,7318855539514,The representative handled my situation swiftly and professionally and resolved it to my satisfaction.,,
2018-01-04 16:47:00.000004,7318251664104,I needed to confirm a last minute cancellation of a hotel reservation due to a cancelled flight. The representative contacted the hotel in a few minutes while I was on hold and took care of it.,,
2018-01-04 17:44:59.999997,116574543511,Easy navigation .  Prompt notifications regarding changes in flight schedules.,,
2018-01-04 18:15:59.999999,7318717530452,Representative was very polite.,,
2018-01-05 10:34:00.000002,7317469320309,"I contacted the hotel to cancel the reservation and she was very helpful and gave me a telephone # to call. I called that number, was placed on hold for an extended amount of time and told that was not the correct telephone number and was given another one where I sat on hold for a reallllllly long time and then spoke to a person that finally cancelled the reservation. I am sorry for saying this but the last two telephone numbers were answered by a person that did not speak English very well and was hard to understand.",,
2018-01-05 11:50:00.000004,7302008748672,Connected quickly with a live person who knew how to handle the situation.,,
2018-01-05 12:08:00.000004,114178713301,knowlege,,
2018-01-05 12:31:00.000002,7318024293071,They did not solve the problem we experienced. Not very helpful.,,
2018-01-05 13:29:00.000004,115501969342,"It was difficult to get my reservations in the time frame that was necessary.  After I did so, I had to go to American Airlines and pay extra to change my seats.  AARP emailed that there had been a change & now AA doesn't reflect my trip at ALL!",,
2018-01-05 13:32:59.999997,7309312973400,Agent explained things very clearly.   He got me the information I needed.  Very good experience,,
2018-01-05 13:34:59.999998,7314570421182,I explained what was wrong and it was immediately taken care of,,
2018-01-05 13:41:59.999997,7318313247987,Just stated what I wanted to do and they informed me when deposit would possibly credit and confirmed cancellation with an email.,,
2018-01-05 13:50:00.000001,114990390453,I asked them to find out if a credit was issued because I didn't see and was initially told it could take up to eight weeks to be issued. They found the information within hours and let me know.,,
2018-01-05 14:15:59.999996,7314426762910,"Was able to speak to a representative fairly quickly and once I explained the problem, she was able to take care of it to my satisfaction.",,
2018-01-05 15:00:59.999996,116093086790,b,,
2018-01-05 15:26:00.000004,116303817783,took a few calls to get to the right place wait time was kind of long,,
2018-01-05 15:56:00.000001,116127307020,they said they had fixed it  but when i go to my itinerary page it only says error no info dont know if its been straitened  out or not,,
2018-01-05 15:56:59.999997,7317998392423,No deals to be made with your company. You talk like you are doing a good thing for your members but every time I’ve used your company I end up paying more than any on Kayak.,,
